people	gun	0.68
canyon	valley	6.75
champion	winner	8.73
cow	cattle	9.52
cat	lion	6.75
heroine	hero	8.78
hallway	corridor	9.28
wall	brick	4.68
death	burial	4.93
circumstance	situation	7.85
happiness	peace	6.03
hill	cliff	4.28
business	industry	7.02
vision	perception	6.88
gossip	news	5.22
meal	waist	0.98
fraternity	baseball	0.88
school	grade	4.42
disease	infection	7.15
book	text	6.35
politician	president	7.38
fact	insight	4.77
winner	goal	3.23
victory	triumph	8.98
violin	instrument	6.58
bone	knee	4.17
death	catastrophe	4.13
day	dawn	5.47
snow	storm	4.8
hysteria	confusion	6.33
driver	pilot	6.28
eye	tear	3.55
arithmetic	rhythm	2.35
fraternity	door	0.68
teacher	instructor	9.25
buddy	companion	8.65
sheep	lamb	8.42
boundary	border	9.08
jail	choice	1.08
crowd	parade	3.93
band	orchestra	7.08
doctor	orthodontist	5.58
shore	coast	8.83
cent	wife	0.58
word	page	2.92
river	stream	7.3
wire	cord	7.62
cloud	mist	6.67
meter	yard	5.6
people	balloon	0.48
clothes	fabric	5.87
creator	maker	9.62
book	topic	2.07
grass	blade	4.57
rabbi	minister	7.62
competence	ability	7.5
money	pearl	2.1
noise	rattle	6.17
argument	criticism	5.08
alcohol	gin	8.65
aggression	hostility	8.48
wealth	fame	4.02
value	belief	7.07
prince	king	5.92
cabin	hut	6.53
abundance	plenty	8.97
motel	inn	8.17
plane	jet	8.1
apple	sunshine	0.58
motor	engine	8.65
bottle	container	7.93
crib	cradle	8.55
flower	violet	6.95
chair	bench	6.67
administration	management	7.25
god	spirit	7.3
physician	doctor	8.88
priest	monk	6.28
liquor	century	0.4
book	information	5
boy	kid	7.5
box	cigar	1.25
neck	spine	5.32
plane	airport	3.65
god	priest	4.5
accident	catastrophe	5.9
arm	wrist	3.57
river	sea	5.72
cloud	haze	7.32
boy	son	6.75
steak	meat	7.47
idea	scheme	6.75
mob	crowd	7.85
corporation	business	9.02
rat	mouse	7.78
fee	salary	3.72
student	pupil	9.35
hymn	conquest	0.68
sense	intuition	7.68
attorney	lawyer	9.35
mouth	tooth	6.3
orthodontist	dentist	8.27
friend	buddy	8.78
bed	crib	7.3
accident	emergency	4.93
target	arrow	3.25
sweater	jacket	7.15
jar	bottle	7.83
cloud	weather	4.87
clothes	cloth	5.47
ray	sunshine	6.83
condition	boy	0.48
birthday	date	5.08
choice	vein	0.98
book	literature	7.53
biography	fiction	1.38
president	mayor	5.68
taxi	cab	9.2
journey	trip	8.88
marijuana	herb	6.5
mountain	ledge	3.73
task	straw	0.68
cloud	storm	5.6
hymn	straw	0.4
comfort	safety	5.8
beach	sea	4.68
curve	angle	3.33
crowd	bunch	7.42
assignment	task	8.7
band	parade	3.92
breakfast	bacon	4.37
man	father	4.83
mother	guardian	6.5
style	fashion	8.5
meter	inch	5.08
game	action	4.85
bird	hawk	7.85
appointment	engagement	6.75
article	journal	6.18
capability	competence	7.62
course	stomach	0.58
hose	garden	1.67
apple	juice	2.88
grass	moss	5
doctor	temper	0.48
cloud	fog	6
beach	island	5.6
journey	conquest	4.72
intelligence	insight	5.9
snow	weather	5.48
river	valley	1.67
sorrow	shame	4.77
pact	condition	2.45
sun	sky	2.27
dinner	chicken	2.85
ceiling	cathedral	2.42
liquor	band	0.68
car	cab	7.42
area	zone	8.33
aviation	flight	8.18
steeple	chapel	7.08
monster	demon	6.95
door	corridor	3.73
adversary	opponent	9.05
endurance	strength	6.58
bone	elbow	3.78
supper	meal	7.53
storm	hurricane	6.38
right	justice	7.05
bubble	suds	8.57
bird	turkey	6.58
ballad	song	7.53
people	cent	0.48
blood	marrow	3.4
flower	endurance	0.4
nerve	brain	3.88
wagon	carriage	7.7
task	woman	0.68
arm	bone	3.83
hand	wrist	3.97
frustration	anger	6.5
bone	ankle	3.82
cup	jar	5.13
beauty	age	1.58
opinion	choice	5.43
bias	opinion	5.6
emotion	passion	7.72
beach	reef	3.77
task	job	8.87
cab	bus	5.6
horse	colt	7.07
celebration	ceremony	7.72
stomach	bedroom	0.4
meat	bacon	5.8
sea	ocean	8.27
island	task	0.3
boy	brother	6.67
sofa	chair	6.67
depth	magnitude	6.12
movie	film	8.87
era	decade	5.4
beach	seashore	8.33
dollar	people	0.4
helper	maid	5.58
drizzle	rain	9.17
tax	income	2.38
house	apartment	5.8
flu	fever	6.08
organ	liver	6.15
illness	infection	6.9
pain	harm	5.38
cent	size	0.4
letter	paragraph	4
anarchy	chaos	7.93
doctor	professor	4.65
word	newspaper	2.47
winter	season	6.27
opinion	idea	5.7
couple	pair	8.33
meal	dinner	7.15
money	diamond	3.42
trick	size	0.48
action	course	5.45
strength	might	7.07
horse	mare	8.33
mood	emotion	8.12
formula	equation	7.95
tobacco	cigarette	7.5
child	boy	5.75
goal	quest	5.83
mouse	management	0.48
ankle	window	0.3
battle	conquest	7.22
purse	bag	8.33
bed	furniture	6.08
task	highway	0.48
clothes	drawer	3.02
seed	mustard	3.48
job	management	3.97
menu	order	3.62
son	father	3.82
father	parent	7.07
metal	aluminum	7.25
vehicle	bus	6.47
friend	guy	3.88
gun	dawn	1.18
belief	flower	0.4
winner	presence	1.08
kidney	organ	6.17
wisdom	intelligence	7.47
college	class	4.13
actress	actor	7.12
word	dictionary	3.68
body	spine	4.78
bed	bedroom	3.4
apple	sauce	1.43
cottage	cabin	7.72
situation	condition	6.58
exit	doorway	5.5
author	creator	8.02
book	article	5.43
book	story	5.63
rain	mist	5.97
door	gate	5.25
toe	finger	4.68
sandwich	lunch	6.3
date	calendar	4.42
navy	army	6.43
roof	ceiling	7.58
racket	noise	8.1
brow	eye	3.82
cheek	tongue	4.52
activity	movement	7.15
formula	log	1.77
cat	pet	5.95
chief	mayor	4.85
intelligence	skill	5.35
plate	bowl	5.23
wine	liquor	7.85
intelligence	logic	6.5
army	squad	5.08
attitude	confidence	4.35
attention	awareness	8.73
wealth	prestige	6.07
music	melody	6.98
linen	fabric	7.47
nail	thumb	3.55
leader	manager	7.27
wood	log	7.3
joy	pride	5
despair	misery	7.22
phrase	word	5.48
cancer	sickness	7.93
gun	knife	3.65
chemistry	theory	3.17
reflection	image	7.27
guy	partner	3.57
cop	sheriff	9.05
crime	theft	7.53
moon	planet	5.87
camp	cabin	4.2
anger	fury	8.73
chicken	steak	3.73
animal	person	3.05
discussion	argument	5.48
water	ice	6.47
beer	alcohol	7.5
gun	cannon	5.68
aisle	hallway	6.75
song	story	3.97
woman	wife	5.72
day	morning	4.87
clothes	closet	3.27
belly	abdomen	8.13
body	chest	4.45
mud	dirt	7.32
glass	crystal	6.27
alcohol	whiskey	7.27
bird	hen	7.03
apple	candy	2.08
man	warrior	4.72
calf	bull	4.93
men	fraternity	3.13
size	magnitude	6.33
telephone	booth	3.63
body	stomach	3.93
beast	animal	7.83
adult	guardian	6.9
agony	grief	7.63
people	party	2.2
heart	surgery	1.08
archbishop	bishop	7.05
way	manner	7.62
arm	vein	3.65
composer	writer	6.58
death	tragedy	5.8
sugar	honey	5.13
rail	fence	5.22
muscle	tongue	5
college	profession	3.12
attention	interest	7.22
clothes	jacket	5.15
mouth	lip	7.1
alcohol	wine	7.42
floor	deck	5.55
fever	illness	7.65
belief	concept	5.08
brother	son	3.48
medium	news	3.65
ball	costume	2.32
strength	capability	5.28
window	door	3.33
cousin	uncle	4.63
beer	beverage	5.42
arm	muscle	3.72
room	bed	2.35
tongue	throat	3.1
meat	sandwich	2.35
chapter	tail	0.3
gut	nerve	4.93
page	paragraph	3.03
arm	shoulder	4.85
guy	stud	5.83
diet	apple	1.18
ball	cannon	2.58
aisle	hall	6.35
