correlate	levy	0
refer	lean	0
levy	believe	0.17
imitate	highlight	0.17
empty	situate	0.17
seize	refer	0.17
shake	swell	0.17
alter	highlight	0.17
refer	carry	0.17
flush	spin	0.17
sweat	spin	0.33
furnish	impress	0.33
lean	grate	0.33
refine	sustain	0.33
remember	hail	0.33
highlight	restore	0.33
postpone	show	0.33
scrape	lean	0.33
acknowledge	distribute	0.33
clean	concoct	0.33
hail	judge	0.33
dissipate	isolate	0.5
research	distribute	0.5
anger	approve	0.5
resolve	publicize	0.5
boast	yield	0.5
request	concoct	0.5
sustain	lower	0.5
boil	tap	0.5
approve	boast	0.5
stamp	weave	0.5
market	sweeten	0.5
ache	spin	0.67
scorn	yield	0.67
recognize	succeed	0.67
arrange	explain	0.67
evaluate	terminate	0.67
list	figure out	0.67
swear	describe	0.67
discard	arrange	0.67
dilute	market	0.67
hasten	permit	0.67
situate	isolate	0.67
explain	boast	0.67
forget	resolve	0.83
weave	print	0.83
supervise	concoct	0.83
swear	think	0.83
request	levy	1
catch	consume	1
move	swell	1
relieve	hinder	1
arrange	study	1
swear	explain	1
bruise	split	1.17
swing	crash	1.17
resolve	examine	1.17
build	propose	1.17
swing	break	1.17
hinder	yield	1.17
express	figure out	1.17
make	trade	1.17
twist	fasten	1.33
divide	figure out	1.33
advise	furnish	1.33
want	deserve	1.33
complain	boast	1.33
clip	twist	1.5
rotate	situate	1.5
approve	scorn	1.5
seize	request	1.5
supply	consume	1.5
yell	boast	1.67
swell	curl	1.67
finance	build	1.67
expect	deserve	1.67
terminate	postpone	1.67
need	deserve	1.83
refer	explain	1.83
split	crush	2
welcome	recognize	2
challenge	yield	2
yield	seize	2
hinder	assist	2
swing	bounce	2.17
call	refer	2.17
hail	address	2.33
build	organize	2.5
depict	recognize	2.5
twist	intertwine	2.5
drain	tap	2.5
distribute	commercialize	2.5
refer	direct	2.67
weave	intertwine	2.67
make	earn	2.83
lean	rest	2.83
rap	tap	2.83
sell	market	2.83
show	publish	2.83
hasten	accelerate	2.83
dissipate	disperse	3
impose	levy	3
approve	support	3
hail	acclaim	3
twist	curl	3.17
block	hinder	3.17
arrange	plan	3.17
resolve	settle	3.33
recognize	acknowledge	3.33
prolong	sustain	3.33
tap	knock	3.33
spin	twirl	3.5
circulate	distribute	3.5
enlarge	swell	3.5
swing	sway	3.5
merit	deserve	3.67
seize	take	3.67
submit	yield	3.67
swear	vow	3.83
demonstrate	show	3.83
furnish	supply	3.83
consume	eat	3.83
position	situate	3.83
solve	figure out	3.83
brag	boast	4
build	construct	4
end	terminate	4
accentuate	highlight	4
divide	split	4
concoct	devise	4
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
