transfusion	guitar	0.05
xenon	soul	0.07
nanometer	feeling	0.11
blood	keyboard	0.12
cloud	computer	0.32
theorem	wife	0.34
pen	lamp	0.65
power	healing	1.25
city	river	1.85
theft	house	1.99
professional	actor	2.12
dog	friend	2.51
atom	bomb	2.63
computer	calculator	2.81
person	soul	2.84
sea	salt	2.87
pencil	paper	2.9
penguin	Antarctica	2.96
yes	no	3
ten	twelve	3.01
car	wheel	3.02
car	driver	3.14
letter	message	3.16
river	lake	3.19
citizen	city	3.24
keyboard	computer	3.25
blood	transfusion	3.28
mathematics	theorem	3.3
hour	minute	3.38
person	person	4
