Tsunami                Harry Potter         1.098
Delta Airlines         Love Poems           1.098
Thesaurus              US Airways           1.118
U2                     Recipes              1.157
Periodic Table         Toyota               1.176
Inland Revenue         Love                 1.216
PC World               United Airlines      1.235
NASA                   Super Bowl           1.392
Used Cars              Virgin               1.431
Love Quotes            TV Guide             1.549
Blockbuster            Nike                 1.588
BBC                    Jennifer Lopez       1.686
MSN Messenger          UPS                  1.706
Delta Airlines         Walmart              1.725
Holiday Inn            Valentine Day        1.882
WinZIP                 Zip Code Finder      1.902
Jokes                  Quotes               2.294
Free Games             XBOX 2               2.549
Lyrics                 Real Player          2.588
Flowers                Weather              2.765
XBOX Cheats            Yahoo Games          2.941
Poems                  Song Lyrics          3.647
Britney Spears         Paris Hilton         3.804
People Search          White Pages          3.843
Google                 GMail                4.118
Eminem                 Music                4.137
Currency Converter     Exchange Rates       4.137
Cars                   Honda                4.176
EasyJet                Cheap Flights        4.294
Microsoft              Internet Explorer    4.314
