shrink    grow            0.23
ignore    explore          0.4
remind    sell             0.4
give      steal            0.5
spend     save            0.55
create    destroy         0.63
forget    retain          0.63
enter     owe             0.68
find      disappear       0.77
agree     argue           0.77
lose      get             0.77
portray   notify          0.78
succeed   fail            0.83
accept    reject          0.83
remind    forget          0.87
give      know            0.88
destroy   construct       0.92
forget    know            0.92
leave     enter           0.95
leave     appear          0.97
go        sell            0.97
bring     complain        0.98
arrange   require         0.98
agree     differ          1.05
lose      keep            1.05
keep      give            1.05
ignore    ask             1.07
send      receive         1.08
steal     buy             1.13
do        quit            1.17
portray   decide          1.18
forget    learn           1.18
begin     quit            1.28
arrive    leave           1.33
breathe   choke           1.37
give      deny            1.43
disorganizorganize        1.45
receive   give            1.47
encourage discourage      1.58
accept    deliver         1.58
destroy   make             1.6
get       remain           1.6
send      attend          1.67
borrow    sell            1.73
accept    deny            1.75
multiply  divide          1.75
organize  become          1.77
borrow    want            1.77
require   inquire         1.82
get       put             1.98
give      borrow          2.22
keep      borrow          2.25
add       divide           2.3
owe       lend            2.32
come      bring           2.42
go        come            2.42
take      leave           2.47
leave     remain          2.53
comprehendsatisfy         2.55
borrow    beg             2.62
bring     restore         2.62
try       think           2.62
kill      defend          2.63
become    seem            2.63
multiply  add              2.7
accept    recommend       2.75
join      acquire         2.85
absorb    withdraw        2.97
bring     send            2.97
please    plead           2.98
put       hang               3
speak     hear            3.02
forget    ignore          3.07
pursue    persuade        3.17
fail      discourage      3.33
communicatpray            3.55
leave     wander          3.57
go        allow           3.62
give      put             3.65
assume    pretend         3.72
ask       pray            3.72
accept    forgive         3.73
go        send            3.75
say       participat      3.82
deliver   carry           3.88
learn     listen          3.88
forgive   forget          3.92
succeed   try             3.98
accomplishbecome             4
go        enter              4
verify    justify         4.08
explain   prove            4.1
agree     please          4.13
learn     evaluate        4.17
argue     rationaliz       4.2
do        happen          4.23
take      deliver         4.37
leave     ignore          4.42
achieve   try             4.42
kill      hang            4.45
speak     acknowledg      4.67
understandlisten          4.68
pretend   seem            4.68
read      comprehend       4.7
make      become          4.77
think     inquire         4.77
become    appear          4.77
want      choose          4.78
reject    avoid           4.78
complain  argue            4.8
gather    attend           4.8
argue     prove           4.83
discover  originate       4.83
assume    predict         4.85
cherish   keep            4.85
understandforgive         4.87
say       verify           4.9
add       build           4.92
kill      choke           4.92
listen    obey            4.93
please    entertain          5
argue     justify            5
absorb    possess            5
take      receive         5.08
get       buy             5.08
think     decide          5.13
create    imagine         5.13
give      allow           5.15
argue     differ          5.15
cooperate join            5.18
take      carry           5.23
acknowledgnotify           5.3
join      marry           5.35
keep      protect          5.4
engage    marry           5.43
absorb    learn           5.48
know      believe          5.5
win       dominate        5.68
replace   restore         5.73
remain    retain          5.75
disappear shrink           5.8
carry     bring            5.8
deserve   earn             5.8
determine predict          5.8
kill      destroy          5.9
enjoy     entertain       5.92
beg       ask                6
attend    arrive          6.08
greet     meet            6.17
take      steal           6.18
argue     persuade        6.23
overcome  dominate        6.25
appear    attend          6.28
acquire   find            6.38
withdraw  reject          6.38
cooperate participat      6.43
ask       plead           6.47
save      protect         6.58
discuss   explain         6.67
collect   save            6.67
accept    believe         6.75
imitate   portray         6.75
ignore    avoid           6.87
accept    acknowledg      6.88
pretend   portray         7.03
arrive    come            7.05
take      obtain           7.1
investigatpursue          7.15
take      possess          7.2
give      lend            7.22
gather    meet             7.3
behave    obey             7.3
lose      fail            7.33
begin     go              7.42
understandknow            7.47
realize   discover        7.47
achieve   succeed          7.5
choose    elect           7.62
make      earn            7.62
leave     go              7.63
know      comprehend      7.63
satisfy   please          7.67
participatjoin             7.7
conclude  decide          7.75
attach    join            7.75
win       accomplish      7.85
win       succeed          7.9
reduce    shrink          8.02
analyze   evaluate        8.03
advise    recommend        8.1
compare   analyze          8.1
investigatexamine          8.1
come      attend           8.1
join      add              8.1
listen    hear            8.17
appoint   elect           8.17
proclaim  announce        8.18
begin     originate        8.2
think     rationaliz      8.25
arrange   organize        8.27
expand    grow            8.27
keep      possess         8.27
clarify   explain         8.33
make      construct       8.33
pretend   imagine         8.47
create    build           8.48
explore   discover        8.48
achieve   accomplish      8.57
acquire   obtain          8.57
create    make            8.72
locate    find            8.73
inspect   examine         8.75
contemplatthink           8.82
acquire   get             8.82
roam      wander          8.83
decide    choose          8.87
plead     beg             9.08
declare   announce        9.08
protect   defend          9.13
inform    notify          9.25
occur     happen          9.32
vanish    disappear        9.8
